Index,Formula,Decomposition Energy,Band Gap,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
0,MA1Ca0.12Sn0.75Pb0.12I3,-0.102624517,1.0389,0,0,0,1,0,0.125,0,0,0,0.75,0.125,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.80625,2629.5,592.92125,7.095,119.94225,85,694.6125,7.0625,259.34875,1.88625,50.25,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
1,Rb0.38Cs0.12MA0.5Pb1I3,0.100325477,1.9355,0,0.375,0.125,0.5,0,0,0,0,0,0,1,0,0,1,1.90625,611.875,245.42875,1.15825,64.7136,27.61,661.0875,4.204,46.3675,1.68125,57.25,6.125,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
2,MA1Ca0.25Ba0.38Sn0.25Pb0.12Br3,0.001848362,2.9821,0,0,0,1,0,0.25,0,0.375,0,0.25,0.125,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.10875,2190.375,855.11125,4.98,117.09575,-14.5,602.625,7.5325,186.0725,1.365,48.75,5.25,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
3,K1Ca0.75Ba0.25Cl3,0.345121438,4.4857,1,0,0,0,0,0.75,0,0.25,0,0,0,1,0,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.105,1837.25,1084.5,2.06,64.391,-130,568.075,8.4,151.0525,0.9725,29,4.5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
4,K0.38Rb0.12Cs0.12FA0.38Ca1I3,0.170902437,3.4386,0.375,0.125,0.125,0,0.375,1,0,0,0,0,0,0,0,1,1.93375,745.125,335.82125,1.16025,58.8710125,32.9075,572.7625,3.86525,56.83,1.4725,52.75,5.875,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
5,Cs1Sr0.25Ba0.12Ge0.12Sn0.38Pb0.12I3,0.052914588,1.6723,0,0,1,0,0,0,0.25,0.125,0.125,0.375,0.125,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.97375,2393.25,801.68875,5.90875,118.56375,25.625,650.6625,10.3225,224.66375,1.62625,49.5,5.125,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
6,K1Sr1I3,0.472661567,3.1709,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
7,K1Ba1Cl3,0.91053431,4.1664,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
8,K0.25Rb0.38Cs0.38Pb1I3,0.24360134,1.4629,0.25,0.375,0.375,0,0,0,0,0,0,0,1,0,0,1,1.63375,972.625,314.51375,1.49075,91.664525,46.7325,396.7125,2.2445,70.5775,0.80875,39.25,5.125,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
9,MA1Ba0.25Ge0.12Sn0.62I3,-0.025793763,1.4763,0,0,0,1,0,0,0,0.25,0.125,0.625,0,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.865,2705.375,717.6375,6.13125,117.6025,77.625,663.8625,10.4775,258.31875,1.69875,49.25,5.125,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
10,Rb1Sn1Br3,-0.062372446,0.5672,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
11,Rb1Sn1Cl1.12Br1.88,-0.082786683,0.6212,0,1,0,0,0,0,0,0,0,1,0,0.375,0.625,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.90375,297.09875,230.7825,3.15525,63.2347625,333.675,1181.6,4.5075,13.028125,3.035,28.25,3.625
12,K0.38Cs0.25MA0.38Sr1Cl3,0.05373786,4.8767,0.375,0,0.25,0.375,0,0,1,0,0,0,0,1,0,0,1.815,723.5,269.56,1.0525,59.9257125,32.7625,598.225,3.6955,54.735,1.46125,48.25,5.625,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
13,FA1Pb1Cl2.62Br0.38,-0.192858805,2.6371,0,0,0,0,1,0,0,0,0,0,1,0.875,0.125,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.82875,250.76375,183.8925,3.20225,41.0091125,345.775,1237.2,3.4695,10.765625,3.135,19.25,3.125
14,Rb1Sr1I3,0.259953835,3.3325,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
15,MA1Ba1Br2.62I0.38,0.097636749,3.9356,0,0,0,1,0,0,0,1,0,0,0,0,0.875,0.125,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.99,347.55625,281.04375,3.34625,85.7790625,320.9375,1123.4625,5.59525,15.496875,2.9225,37.25,4.125
16,K0.25Rb0.25Cs0.12MA0.38Ge1Cl3,-0.375523134,2.0133,0.25,0.25,0.125,0.375,0,0,0,0,1,0,0,1,0,0,1.81125,716.625,267.925,1.09425,59.7922,32.75375,599.6625,3.72775,53.955,1.465,48.25,5.625,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
17,K0.38Rb0.38Cs0.25Ca1I3,0.223259254,3.4212,0.375,0.375,0.25,0,0,1,0,0,0,0,0,0,0,1,1.605,983.75,318.92125,1.3645,79.9386375,47.09125,402.1,2.27425,71.7225,0.8125,34.75,4.875,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
